[None, array([90., 80., 70.], dtype=float32), array([0.00316052, 0.00316006, 0.00315938], dtype=float32), 0.0, array(85., dtype=float32), 85.0]
[None, array([90., 80., 70.], dtype=float32), array([0.09013322, 0.08994982, 0.08978266], dtype=float32), 21.37084, array(85., dtype=float32), 63.629158]
[None, array([90., 80., 70.], dtype=float32), array([0.0921314 , 0.09194198, 0.09177009], dtype=float32), 21.849173, array(85., dtype=float32), 63.150826]
[None, array([90., 80., 70.], dtype=float32), array([0.09412955, 0.0939341 , 0.09375749], dtype=float32), 22.327497, array(85., dtype=float32), 62.6725]
[None, array([90., 80., 70.], dtype=float32), array([0.09612768, 0.0959262 , 0.09574486], dtype=float32), 22.805817, array(85., dtype=float32), 62.194183]
[None, array([90., 80., 70.], dtype=float32), array([0.09812579, 0.09791829, 0.0977322 ], dtype=float32), 23.284128, array(85., dtype=float32), 61.715874]
[None, array([90., 80., 70.], dtype=float32), array([0.10012388, 0.09991035, 0.09971953], dtype=float32), 23.762438, array(85., dtype=float32), 61.237564]
[None, array([90., 80., 70.], dtype=float32), array([0.10212196, 0.1019024 , 0.10170685], dtype=float32), 24.240742, array(85., dtype=float32), 60.75926]
[None, array([90., 80., 70.], dtype=float32), array([0.10412002, 0.10389443, 0.10369416], dtype=float32), 24.71904, array(85., dtype=float32), 60.28096]
[None, array([90., 80., 70.], dtype=float32), array([0.10611808, 0.10588646, 0.10568145], dtype=float32), 25.197342, array(85., dtype=float32), 59.802658]
[None, array([90., 80., 70.], dtype=float32), array([0.10811613, 0.10787848, 0.10766874], dtype=float32), 25.675638, array(85., dtype=float32), 59.324364]
[None, array([90., 80., 70.], dtype=float32), array([0.11011417, 0.10987049, 0.10965603], dtype=float32), 26.153934, array(85., dtype=float32), 58.846066]
[None, array([90., 80., 70.], dtype=float32), array([0.11211221, 0.1118625 , 0.11164331], dtype=float32), 26.632229, array(85., dtype=float32), 58.36777]
[None, array([90., 80., 70.], dtype=float32), array([0.11411024, 0.11385451, 0.11363059], dtype=float32), 27.110523, array(85., dtype=float32), 57.889477]
[None, array([90., 80., 70.], dtype=float32), array([0.11610827, 0.11584651, 0.11561786], dtype=float32), 27.588814, array(85., dtype=float32), 57.411186]
[None, array([90., 80., 70.], dtype=float32), array([0.1181063 , 0.11783851, 0.11760513], dtype=float32), 28.067104, array(85., dtype=float32), 56.932896]
[None, array([90., 80., 70.], dtype=float32), array([0.12010433, 0.11983051, 0.1195924 ], dtype=float32), 28.545397, array(85., dtype=float32), 56.454605]
[None, array([90., 80., 70.], dtype=float32), array([0.12210236, 0.12182251, 0.12157966], dtype=float32), 29.02369, array(85., dtype=float32), 55.97631]
[None, array([90., 80., 70.], dtype=float32), array([0.12410039, 0.1238145 , 0.12356693], dtype=float32), 29.501978, array(85., dtype=float32), 55.498024]
[None, array([90., 80., 70.], dtype=float32), array([0.12609841, 0.1258065 , 0.12555419], dtype=float32), 29.98027, array(85., dtype=float32), 55.01973]
[None, array([90., 80., 70.], dtype=float32), array([0.12809643, 0.12779848, 0.12754145], dtype=float32), 30.458557, array(85., dtype=float32), 54.541443]
[None, array([90., 80., 70.], dtype=float32), array([0.13009445, 0.12979047, 0.12952872], dtype=float32), 30.936848, array(85., dtype=float32), 54.063152]
[None, array([90., 80., 70.], dtype=float32), array([0.13209248, 0.13178246, 0.13151598], dtype=float32), 31.415138, array(85., dtype=float32), 53.58486]
[None, array([90., 80., 70.], dtype=float32), array([0.1340905 , 0.13377444, 0.13350324], dtype=float32), 31.893427, array(85., dtype=float32), 53.106575]
[None, array([90., 80., 70.], dtype=float32), array([0.13608852, 0.13576643, 0.1354905 ], dtype=float32), 32.371716, array(85., dtype=float32), 52.628284]
[None, array([90., 80., 70.], dtype=float32), array([0.13808654, 0.13775842, 0.13747777], dtype=float32), 32.850006, array(85., dtype=float32), 52.149994]
[None, array([90., 80., 70.], dtype=float32), array([0.14008456, 0.1397504 , 0.13946503], dtype=float32), 33.328297, array(85., dtype=float32), 51.671703]
[None, array([90., 80., 70.], dtype=float32), array([0.14208259, 0.1417424 , 0.1414523 ], dtype=float32), 33.806587, array(85., dtype=float32), 51.193413]
[None, array([90., 80., 70.], dtype=float32), array([0.14408061, 0.14373438, 0.14343956], dtype=float32), 34.284874, array(85., dtype=float32), 50.715126]
[None, array([90., 80., 70.], dtype=float32), array([0.14607863, 0.14572637, 0.14542682], dtype=float32), 34.763165, array(85., dtype=float32), 50.236835]
[None, array([90., 80., 70.], dtype=float32), array([0.14807665, 0.14771836, 0.14741409], dtype=float32), 35.241455, array(85., dtype=float32), 49.758545]
[None, array([90., 80., 70.], dtype=float32), array([0.15007468, 0.14971034, 0.14940135], dtype=float32), 35.71974, array(85., dtype=float32), 49.28026]
[None, array([90., 80., 70.], dtype=float32), array([0.1520727 , 0.15170233, 0.15138862], dtype=float32), 36.198032, array(85., dtype=float32), 48.801968]
[None, array([90., 80., 70.], dtype=float32), array([0.15407072, 0.15369432, 0.15337588], dtype=float32), 36.676323, array(85., dtype=float32), 48.323677]
[None, array([90., 80., 70.], dtype=float32), array([0.15606874, 0.1556863 , 0.15536314], dtype=float32), 37.15461, array(85., dtype=float32), 47.84539]
[None, array([90., 80., 70.], dtype=float32), array([0.15806676, 0.15767829, 0.1573504 ], dtype=float32), 37.6329, array(85., dtype=float32), 47.3671]
[None, array([90., 80., 70.], dtype=float32), array([0.16006479, 0.15967028, 0.15933767], dtype=float32), 38.11119, array(85., dtype=float32), 46.88881]
[None, array([90., 80., 70.], dtype=float32), array([0.16206281, 0.16166227, 0.16132493], dtype=float32), 38.58948, array(85., dtype=float32), 46.41052]
[None, array([90., 80., 70.], dtype=float32), array([0.16406083, 0.16365425, 0.1633122 ], dtype=float32), 39.06777, array(85., dtype=float32), 45.93223]
[None, array([90., 80., 70.], dtype=float32), array([0.16605885, 0.16564624, 0.16529946], dtype=float32), 39.54606, array(85., dtype=float32), 45.45394]
[None, array([90., 80., 70.], dtype=float32), array([0.16805688, 0.16763823, 0.16728672], dtype=float32), 40.02435, array(85., dtype=float32), 44.97565]
[None, array([90., 80., 70.], dtype=float32), array([0.1700549 , 0.16963021, 0.16927399], dtype=float32), 40.50264, array(85., dtype=float32), 44.49736]
[None, array([90., 80., 70.], dtype=float32), array([0.17205292, 0.1716222 , 0.17126125], dtype=float32), 40.980927, array(85., dtype=float32), 44.019073]
[None, array([90., 80., 70.], dtype=float32), array([0.17405094, 0.17361419, 0.17324851], dtype=float32), 41.459213, array(85., dtype=float32), 43.540787]
[None, array([90., 80., 70.], dtype=float32), array([0.17604896, 0.17560618, 0.17523578], dtype=float32), 41.937508, array(85., dtype=float32), 43.062492]
[None, array([90., 80., 70.], dtype=float32), array([0.17804699, 0.17759816, 0.17722304], dtype=float32), 42.415794, array(85., dtype=float32), 42.584206]
[None, array([90., 80., 70.], dtype=float32), array([0.18004501, 0.17959015, 0.1792103 ], dtype=float32), 42.894085, array(85., dtype=float32), 42.105915]
[None, array([90., 80., 70.], dtype=float32), array([0.18204303, 0.18158214, 0.18119757], dtype=float32), 43.372375, array(85., dtype=float32), 41.627625]
[None, array([90., 80., 70.], dtype=float32), array([0.18404105, 0.18357413, 0.18318483], dtype=float32), 43.850662, array(85., dtype=float32), 41.149338]
[None, array([90., 80., 70.], dtype=float32), array([0.18603908, 0.18556611, 0.1851721 ], dtype=float32), 44.328953, array(85., dtype=float32), 40.671047]
[None, array([90., 80., 70.], dtype=float32), array([0.1880371 , 0.1875581 , 0.18715936], dtype=float32), 44.807243, array(85., dtype=float32), 40.192757]
[None, array([90., 80., 70.], dtype=float32), array([0.19003512, 0.18955009, 0.18914662], dtype=float32), 45.285534, array(85., dtype=float32), 39.714466]
[None, array([90., 80., 70.], dtype=float32), array([0.19203314, 0.19154207, 0.19113389], dtype=float32), 45.763824, array(85., dtype=float32), 39.236176]
[None, array([90., 80., 70.], dtype=float32), array([0.19403116, 0.19353406, 0.19312115], dtype=float32), 46.24211, array(85., dtype=float32), 38.75789]
[None, array([90., 80., 70.], dtype=float32), array([0.19602919, 0.19552605, 0.19510841], dtype=float32), 46.720398, array(85., dtype=float32), 38.279602]
[None, array([90., 80., 70.], dtype=float32), array([0.19802721, 0.19751804, 0.19709568], dtype=float32), 47.19869, array(85., dtype=float32), 37.80131]
[None, array([90., 80., 70.], dtype=float32), array([0.20002523, 0.19951002, 0.19908294], dtype=float32), 47.676975, array(85., dtype=float32), 37.323025]
[None, array([90., 80., 70.], dtype=float32), array([0.20202325, 0.20150201, 0.2010702 ], dtype=float32), 48.15527, array(85., dtype=float32), 36.84473]
[None, array([90., 80., 70.], dtype=float32), array([0.20402128, 0.203494  , 0.20305747], dtype=float32), 48.633556, array(85., dtype=float32), 36.366444]
[None, array([90., 80., 70.], dtype=float32), array([0.2060193 , 0.20548598, 0.20504473], dtype=float32), 49.11185, array(85., dtype=float32), 35.88815]
[None, array([90., 80., 70.], dtype=float32), array([0.20801732, 0.20747797, 0.207032  ], dtype=float32), 49.590137, array(85., dtype=float32), 35.409863]
[None, array([90., 80., 70.], dtype=float32), array([0.21001534, 0.20946996, 0.20901926], dtype=float32), 50.068428, array(85., dtype=float32), 34.931572]
[None, array([90., 80., 70.], dtype=float32), array([0.21201336, 0.21146195, 0.21100652], dtype=float32), 50.546715, array(85., dtype=float32), 34.453285]
[None, array([90., 80., 70.], dtype=float32), array([0.21401139, 0.21345393, 0.21299379], dtype=float32), 51.025, array(85., dtype=float32), 33.975]
[None, array([90., 80., 70.], dtype=float32), array([0.21600941, 0.21544592, 0.21498105], dtype=float32), 51.503292, array(85., dtype=float32), 33.496708]
[None, array([90., 80., 70.], dtype=float32), array([0.21800743, 0.21743791, 0.21696831], dtype=float32), 51.981583, array(85., dtype=float32), 33.018417]
[None, array([90., 80., 70.], dtype=float32), array([0.22000545, 0.2194299 , 0.21895558], dtype=float32), 52.459873, array(85., dtype=float32), 32.540127]
[None, array([90., 80., 70.], dtype=float32), array([0.22200347, 0.22142188, 0.22094284], dtype=float32), 52.938164, array(85., dtype=float32), 32.061836]
[None, array([90., 80., 70.], dtype=float32), array([0.2240015 , 0.22341387, 0.2229301 ], dtype=float32), 53.416454, array(85., dtype=float32), 31.583546]
[None, array([90., 80., 70.], dtype=float32), array([0.22599952, 0.22540586, 0.22491737], dtype=float32), 53.89474, array(85., dtype=float32), 31.105259]
[None, array([90., 80., 70.], dtype=float32), array([0.22799754, 0.22739784, 0.22690463], dtype=float32), 54.37303, array(85., dtype=float32), 30.626968]
[None, array([90., 80., 70.], dtype=float32), array([0.22999556, 0.22938983, 0.2288919 ], dtype=float32), 54.85132, array(85., dtype=float32), 30.148682]
[None, array([90., 80., 70.], dtype=float32), array([0.23199359, 0.23138182, 0.23087916], dtype=float32), 55.329605, array(85., dtype=float32), 29.670395]
[None, array([90., 80., 70.], dtype=float32), array([0.23399161, 0.2333738 , 0.23286642], dtype=float32), 55.8079, array(85., dtype=float32), 29.1921]
[None, array([90., 80., 70.], dtype=float32), array([0.23598963, 0.2353658 , 0.23485368], dtype=float32), 56.286186, array(85., dtype=float32), 28.713814]
[None, array([90., 80., 70.], dtype=float32), array([0.23798765, 0.23735778, 0.23684095], dtype=float32), 56.76448, array(85., dtype=float32), 28.23552]
[None, array([90., 80., 70.], dtype=float32), array([0.23998567, 0.23934977, 0.23882821], dtype=float32), 57.242767, array(85., dtype=float32), 27.757233]
[None, array([90., 80., 70.], dtype=float32), array([0.2419837 , 0.24134175, 0.24081548], dtype=float32), 57.721054, array(85., dtype=float32), 27.278946]
[None, array([90., 80., 70.], dtype=float32), array([0.24398172, 0.24333374, 0.24280274], dtype=float32), 58.199345, array(85., dtype=float32), 26.800655]
[None, array([90., 80., 70.], dtype=float32), array([0.24597974, 0.24532573, 0.24479   ], dtype=float32), 58.677635, array(85., dtype=float32), 26.322365]
[None, array([90., 80., 70.], dtype=float32), array([0.24797776, 0.24731772, 0.24677727], dtype=float32), 59.155926, array(85., dtype=float32), 25.844074]
[None, array([90., 80., 70.], dtype=float32), array([0.24997579, 0.2493097 , 0.24876453], dtype=float32), 59.634216, array(85., dtype=float32), 25.365784]
[None, array([90., 80., 70.], dtype=float32), array([0.2519738 , 0.25130168, 0.2507518 ], dtype=float32), 60.1125, array(85., dtype=float32), 24.8875]
[None, array([90., 80., 70.], dtype=float32), array([0.25397184, 0.25329366, 0.25273904], dtype=float32), 60.59079, array(85., dtype=float32), 24.40921]
[None, array([90., 80., 70.], dtype=float32), array([0.25596988, 0.25528565, 0.2547263 ], dtype=float32), 61.069084, array(85., dtype=float32), 23.930916]
[None, array([90., 80., 70.], dtype=float32), array([0.25796792, 0.25727764, 0.25671354], dtype=float32), 61.54737, array(85., dtype=float32), 23.45263]
[None, array([90., 80., 70.], dtype=float32), array([0.25996596, 0.25926962, 0.2587008 ], dtype=float32), 62.02566, array(85., dtype=float32), 22.974339]
[None, array([90., 80., 70.], dtype=float32), array([0.261964  , 0.2612616 , 0.26068804], dtype=float32), 62.503952, array(85., dtype=float32), 22.496048]
[None, array([90., 80., 70.], dtype=float32), array([0.26396203, 0.2632536 , 0.2626753 ], dtype=float32), 62.98224, array(85., dtype=float32), 22.017761]
[None, array([90., 80., 70.], dtype=float32), array([0.26596007, 0.2652456 , 0.26466253], dtype=float32), 63.460526, array(85., dtype=float32), 21.539474]
[None, array([90., 80., 70.], dtype=float32), array([0.2679581 , 0.26723757, 0.26664978], dtype=float32), 63.93882, array(85., dtype=float32), 21.06118]
[None, array([90., 80., 70.], dtype=float32), array([0.26995614, 0.26922956, 0.26863703], dtype=float32), 64.41711, array(85., dtype=float32), 20.582893]
[None, array([90., 80., 70.], dtype=float32), array([0.27195418, 0.27122155, 0.27062428], dtype=float32), 64.8954, array(85., dtype=float32), 20.104599]
[None, array([90., 80., 70.], dtype=float32), array([0.27395222, 0.27321354, 0.27261153], dtype=float32), 65.37369, array(85., dtype=float32), 19.626312]
[None, array([90., 80., 70.], dtype=float32), array([0.27595025, 0.27520552, 0.27459878], dtype=float32), 65.851974, array(85., dtype=float32), 19.148026]
[None, array([90., 80., 70.], dtype=float32), array([0.2779483 , 0.2771975 , 0.27658603], dtype=float32), 66.33027, array(85., dtype=float32), 18.669731]
[None, array([90., 80., 70.], dtype=float32), array([0.27994633, 0.2791895 , 0.27857327], dtype=float32), 66.808556, array(85., dtype=float32), 18.191444]
[None, array([90., 80., 70.], dtype=float32), array([0.28194436, 0.28118148, 0.28056052], dtype=float32), 67.28685, array(85., dtype=float32), 17.71315]
[None, array([90., 80., 70.], dtype=float32), array([0.2839424 , 0.28317347, 0.28254777], dtype=float32), 67.76514, array(85., dtype=float32), 17.234863]
[None, array([90., 80., 70.], dtype=float32), array([0.28594044, 0.28516546, 0.28453502], dtype=float32), 68.24342, array(85., dtype=float32), 16.756577]
[None, array([90., 80., 70.], dtype=float32), array([0.28793848, 0.28715745, 0.28652227], dtype=float32), 68.72172, array(85., dtype=float32), 16.278282]
[None, array([90., 80., 70.], dtype=float32), array([0.2899365 , 0.28914943, 0.28850952], dtype=float32), 69.200005, array(85., dtype=float32), 15.799995]
[None, array([90., 80., 70.], dtype=float32), array([0.29193455, 0.29114142, 0.29049677], dtype=float32), 69.67829, array(85., dtype=float32), 15.321709]
[None, array([90., 80., 70.], dtype=float32), array([0.2939326 , 0.2931334 , 0.29248402], dtype=float32), 70.156586, array(85., dtype=float32), 14.843414]
[None, array([90., 80., 70.], dtype=float32), array([0.29593062, 0.2951254 , 0.29447126], dtype=float32), 70.63487, array(85., dtype=float32), 14.365128]
[None, array([90., 80., 70.], dtype=float32), array([0.29792866, 0.29711738, 0.2964585 ], dtype=float32), 71.11316, array(85., dtype=float32), 13.886841]
[None, array([90., 80., 70.], dtype=float32), array([0.2999267 , 0.29910937, 0.29844576], dtype=float32), 71.59145, array(85., dtype=float32), 13.408546]
[None, array([90., 80., 70.], dtype=float32), array([0.30192474, 0.30110136, 0.300433  ], dtype=float32), 72.06975, array(85., dtype=float32), 12.930252]
[None, array([90., 80., 70.], dtype=float32), array([0.30392277, 0.30309334, 0.30242026], dtype=float32), 72.548035, array(85., dtype=float32), 12.451965]
[None, array([90., 80., 70.], dtype=float32), array([0.3059208 , 0.30508533, 0.3044075 ], dtype=float32), 73.02632, array(85., dtype=float32), 11.973679]
[None, array([90., 80., 70.], dtype=float32), array([0.30791885, 0.30707732, 0.30639476], dtype=float32), 73.504616, array(85., dtype=float32), 11.495384]
[None, array([90., 80., 70.], dtype=float32), array([0.30991688, 0.3090693 , 0.308382  ], dtype=float32), 73.9829, array(85., dtype=float32), 11.017097]
[None, array([90., 80., 70.], dtype=float32), array([0.31191492, 0.3110613 , 0.31036925], dtype=float32), 74.46119, array(85., dtype=float32), 10.538811]
[None, array([90., 80., 70.], dtype=float32), array([0.31391296, 0.31305328, 0.3123565 ], dtype=float32), 74.93948, array(85., dtype=float32), 10.060516]
[None, array([90., 80., 70.], dtype=float32), array([0.315911  , 0.31504527, 0.31434375], dtype=float32), 75.41777, array(85., dtype=float32), 9.58223]
[None, array([90., 80., 70.], dtype=float32), array([0.31790903, 0.31703725, 0.316331  ], dtype=float32), 75.89606, array(85., dtype=float32), 9.103943]
[None, array([90., 80., 70.], dtype=float32), array([0.31990707, 0.31902924, 0.31831825], dtype=float32), 76.37435, array(85., dtype=float32), 8.6256485]
[None, array([90., 80., 70.], dtype=float32), array([0.3219051 , 0.32102123, 0.3203055 ], dtype=float32), 76.852646, array(85., dtype=float32), 8.147354]
[None, array([90., 80., 70.], dtype=float32), array([0.32390314, 0.32301322, 0.32229275], dtype=float32), 77.33093, array(85., dtype=float32), 7.6690674]
[None, array([90., 80., 70.], dtype=float32), array([0.32590118, 0.3250052 , 0.32428   ], dtype=float32), 77.80922, array(85., dtype=float32), 7.1907806]
[None, array([90., 80., 70.], dtype=float32), array([0.32789922, 0.3269972 , 0.32626724], dtype=float32), 78.28751, array(85., dtype=float32), 6.7124863]
[None, array([90., 80., 70.], dtype=float32), array([0.32989725, 0.32898918, 0.3282545 ], dtype=float32), 78.7658, array(85., dtype=float32), 6.2341995]
[None, array([90., 80., 70.], dtype=float32), array([0.3318953 , 0.33098117, 0.33024174], dtype=float32), 79.244095, array(85., dtype=float32), 5.755905]
[None, array([90., 80., 70.], dtype=float32), array([0.33389333, 0.33297315, 0.332229  ], dtype=float32), 79.72238, array(85., dtype=float32), 5.2776184]
[None, array([90., 80., 70.], dtype=float32), array([0.33589137, 0.33496514, 0.33421624], dtype=float32), 80.20067, array(85., dtype=float32), 4.7993317]
[None, array([90., 80., 70.], dtype=float32), array([0.3378894 , 0.33695713, 0.3362035 ], dtype=float32), 80.678955, array(85., dtype=float32), 4.321045]
[None, array([90., 80., 70.], dtype=float32), array([0.33988744, 0.3389491 , 0.33819073], dtype=float32), 81.15725, array(85., dtype=float32), 3.8427505]
[None, array([90., 80., 70.], dtype=float32), array([0.34188548, 0.3409411 , 0.34017798], dtype=float32), 81.635544, array(85., dtype=float32), 3.3644562]
[None, array([90., 80., 70.], dtype=float32), array([0.3438835 , 0.3429331 , 0.34216523], dtype=float32), 82.11383, array(85., dtype=float32), 2.8861694]
[None, array([90., 80., 70.], dtype=float32), array([0.34380296, 0.3427712 , 0.34196112], dtype=float32), 82.07934, array(85., dtype=float32), 2.920662]
[None, array([90., 80., 70.], dtype=float32), array([0.3437224 , 0.34260932, 0.341757  ], dtype=float32), 82.04485, array(85., dtype=float32), 2.9551468]
[None, array([90., 80., 70.], dtype=float32), array([0.34572044, 0.3446013 , 0.34374425], dtype=float32), 82.52314, array(85., dtype=float32), 2.47686]
[None, array([90., 80., 70.], dtype=float32), array([0.34563988, 0.34443942, 0.34354013], dtype=float32), 82.48865, array(85., dtype=float32), 2.5113525]
[None, array([90., 80., 70.], dtype=float32), array([0.34555933, 0.34427753, 0.34333602], dtype=float32), 82.45416, array(85., dtype=float32), 2.5458374]
[None, array([90., 80., 70.], dtype=float32), array([0.34547877, 0.34411564, 0.3431319 ], dtype=float32), 82.41968, array(85., dtype=float32), 2.5803223]
[None, array([90., 80., 70.], dtype=float32), array([0.34539822, 0.34395376, 0.34292778], dtype=float32), 82.385185, array(85., dtype=float32), 2.6148148]
[None, array([90., 80., 70.], dtype=float32), array([0.34531766, 0.34379187, 0.34272367], dtype=float32), 82.35069, array(85., dtype=float32), 2.6493073]
[None, array([90., 80., 70.], dtype=float32), array([0.3452371 , 0.34363   , 0.34251955], dtype=float32), 82.31621, array(85., dtype=float32), 2.683792]
[None, array([90., 80., 70.], dtype=float32), array([0.34515655, 0.3434681 , 0.34231544], dtype=float32), 82.281715, array(85., dtype=float32), 2.7182846]
[None, array([90., 80., 70.], dtype=float32), array([0.345076  , 0.3433062 , 0.34211132], dtype=float32), 82.24723, array(85., dtype=float32), 2.7527695]
[None, array([90., 80., 70.], dtype=float32), array([0.34499544, 0.34314433, 0.3419072 ], dtype=float32), 82.21274, array(85., dtype=float32), 2.787262]
[None, array([90., 80., 70.], dtype=float32), array([0.34491488, 0.34298244, 0.3417031 ], dtype=float32), 82.178246, array(85., dtype=float32), 2.8217545]
[None, array([90., 80., 70.], dtype=float32), array([0.34483433, 0.34282055, 0.34149897], dtype=float32), 82.14376, array(85., dtype=float32), 2.8562393]
[None, array([90., 80., 70.], dtype=float32), array([0.34475377, 0.34265867, 0.34129485], dtype=float32), 82.109276, array(85., dtype=float32), 2.8907242]
[None, array([90., 80., 70.], dtype=float32), array([0.34467322, 0.34249678, 0.34109074], dtype=float32), 82.07478, array(85., dtype=float32), 2.9252167]
[None, array([90., 80., 70.], dtype=float32), array([0.34667125, 0.34448877, 0.343078  ], dtype=float32), 82.55307, array(85., dtype=float32), 2.44693]
[None, array([90., 80., 70.], dtype=float32), array([0.3465907 , 0.34432688, 0.34287387], dtype=float32), 82.518585, array(85., dtype=float32), 2.4814148]
